id,nome,sigla,regiao,populacao
1,Acre,AC,Norte,0.83
2,Alagoas,AL,Nordeste,3.38
3,Amapá,AP,Norte,0.80
4,Amazonas,AM,Norte,4.06
12,Bahia,BA,Nordeste,15.34
13,Ceará,CE,Nordeste,9.02
14,"Distrito Federal",DF,Centro-oeste,3.04
15,"Espírito Santo",ES,Sudeste,4.02
16,Goiás,GO,Centro-oeste,6.78
17,Maranhão,MA,Nordeste,7.00
18,"Mato Grosso",MT,Centro-oeste,3.34
19,"Mato Grosso do Sul",MS,Centro-oeste,2.71
20,"Minas Gerais",MG,Sudeste,21.12
21,Pará,PA,Norte,8.36
22,Paraíba,PB,Nordeste,4.03
23,Paraná,PR,Sul,11.32
24,Pernambuco,PE,Nordeste,9.47
25,Piauí,PI,Nordeste,3.22
26,"Rio de Janeiro",RJ,Sudeste,16.72
27,"Rio Grande do Norte",RN,Nordeste,3.51
28,"Rio Grande do Sul",RS,Sul,11.32
29,Rondônia,RO,Norte,1.81
30,Roraima,RR,Norte,0.52
31,"Santa Catarina",SC,Sul,7.01
32,"São Paulo",SP,Sudeste,45.10
33,Sergipe,SE,Nordeste,2.29
34,Tocantins,TO,Norte,1.55
